language,fname,mname,lname,DOB,street,postal_code,city,state,country_code,drivers_license,ss,occupation,phone_home,phone_biz,phone_contact,phone_cell,status,contact_relationship,date,sex,email,email_direct,ethnoracial,race,ethnicity,religion,family_size,monthly_income,homeless,pid,county,sexual_orientation,gender_identity,street_line_2,preferred_name,nationality_country
Español,Amaya,Damaris,FUENTEZ,1965-03-04,PARÍS1650,22054,Tijuana,Baja California,MEX,BC700937163,69622250723,Operador de máquinas de coser,+52(664)2185907,+52(664)8210488,+52(664)2035999,+52(664)5466969,Separad@,,2019-07-26,Rather not say,ofelia74@gmail.com,ofelia74@gmail.com,Mestiza/o,Mestiza/o,Mestiza/o,Otras religiones,Tres,29637,Verdadero,95,Tijuana,"Lesbian, gay or homosexual","Additional gender category or other, please specify",CAÑÓN ALTAMIRA GUERRERO,Damaris,México
Español,Sofia,Valentina,DE LA ORTA,1993-04-13,CAÑON DEL PADRESN,22203,Tijuana,Baja California,MEX,BC028190995,72525927330,Peón de la construcción de edificios,+52(664)1233629,+52(664)9565319,+52(664)1728588,+52(664)9525773,Viud@,,2000-09-04,Female,elviavalles@gmail.com,elviavalles@gmail.com,Caucásica/o,Caucásica/o,Caucásica/o,Sin adscripción religiosa (creyente),Tres,29637,Verdadero,96,Tijuana,Bisexual,Identifies as Female,CAÑÓN DEL PADRE,Valentina,México
Español,Gabriela,Elizabeth,LASCAREZ,1966-09-24,CAÑON DEL PADRESN,22203,Tijuana,Baja California,MEX,BC118898009,81116862004,Jefe de pequeñas poblaciones,+52(664)1118859,+52(664)8613917,+52(664)4456412,+52(664)1339921,Separad@ legalmente,,2019-11-28,Female,mezajose-maria@yahoo.com,mezajose-maria@yahoo.com,Caucásica/o,Caucásica/o,Caucásica/o,Otras religiones,Cinco,29637,Verdadero,97,Tijuana,Bisexual,Identifies as Female,CAÑÓN DEL PADRE,Gabriela,México
Español,Adrian,Hugo,ORDOÏ¿½EZ,1989-03-11,PARÍS1650,22054,Tijuana,Baja California,MEX,BC124419734,06313214840,"Gerente de centros deportivos, de esparcimiento y culturales",+52(664)7180478,+52(664)4978657,+52(664)7013742,+52(664)7591805,Separad@,,2006-12-22,Male,rvanegas@hotmail.com,rvanegas@hotmail.com,Caucásica/o,Caucásica/o,Caucásica/o,Sin religión,Cuatro,29637,Verdadero,98,Tijuana,Bisexual,"Genderqueer, neither exclusively male nor female",CAÑÓN ALTAMIRA GUERRERO,Adrian,México
Español,Mia,Aitana,HAW,1963-05-27,CAÑON DEL PADRESN,22203,Tijuana,Baja California,MEX,BC798801084,29647678381,Diseñador de productos,+52(664)5728184,+52(664)1168288,+52(664)8844041,+52(664)5767496,Solter@,,2007-11-13,Female,hguevara@hotmail.com,hguevara@hotmail.com,Indígena,Indígena,Indígena,Otras religiones,Tres,29637,Verdadero,99,Tijuana,Straight or heterosexual,Identifies as Male,CAÑÓN DEL PADRE,Mia,México
Español,Armando,Alejandro,ULLOA,1955-05-10,CAÑON DEL PADRESN,22203,Tijuana,Baja California,MEX,BC456815274,21022179408,Especialista en políticas y servicios de personal,+52(664)5371955,+52(664)1645170,+52(664)6998580,+52(664)9756725,Casad@,,2008-07-13,Male,rlovato@gmail.com,rlovato@gmail.com,Afrodescendiente,Afrodescendiente,Afrodescendiente,Protestante/Cristiano evangélico,Tres,29637,Falso,100,Tijuana,Straight or heterosexual,Identifies as Female,CAÑÓN DEL PADRE,Armando,México
Español,Gael,Thiago,TIZAPANTZI,1951-01-04,PARÍS1650,22054,Tijuana,Baja California,MEX,BC478421677,72558872726,Oficinista general,+52(664)9268275,+52(664)6214130,+52(664)4720889,+52(664)1877928,UniÃ³n libre,,2023-03-01,Rather not say,zrivera@yahoo.com,zrivera@yahoo.com,Indígena,Indígena,Indígena,Católica,Cuatro,29637,Falso,101,Tijuana,"Something else, please describe","Additional gender category or other, please specify",CAÑÓN ALTAMIRA GUERRERO,Gael,México
Español,Isabella,Gianna,REMEDIOS,1975-12-04,PARÍS1650,22054,Tijuana,Baja California,MEX,BC039500456,66438073182,Secretario jurídicos,+52(664)2597374,+52(664)2042452,+52(664)2348132,+52(664)9096674,Solter@,,2005-12-30,Rather not say,guillerminamenendez@hotmail.com,guillerminamenendez@hotmail.com,Indígena,Indígena,Indígena,Sin adscripción religiosa (creyente),Cinco,29637,Verdadero,102,Tijuana,"Something else, please describe","Additional gender category or other, please specify",CAÑÓN ALTAMIRA GUERRERO,Isabella,México
Español,Yamileth,Renata,RAMALES,1996-11-27,CAÑON DEL PADRESN,22203,Tijuana,Baja California,MEX,BC841004385,05709742729,Controlador de tráfico aéreo,+52(664)4271654,+52(664)7036806,+52(664)9241763,+52(664)1195280,Separad@ legalmente,,2022-10-03,Rather not say,tsantillan@gmail.com,tsantillan@gmail.com,Caucásica/o,Caucásica/o,Caucásica/o,Sin religión,Cuatro,29637,Verdadero,103,Tijuana,"Lesbian, gay or homosexual",Male-to-Female (MTF)/Transgender Female/Trans Woman,CAÑÓN DEL PADRE,Yamileth,México
Español,Erick,Ian,BAJO,1956-04-20,PARÍS1650,22054,Tijuana,Baja California,MEX,BC715554968,65553035174,Fumigador,+52(664)4472231,+52(664)4080247,+52(664)6716904,+52(664)5763106,Viud@,,2001-03-21,Rather not say,pamela54@gmail.com,pamela54@gmail.com,Mestiza/o,Mestiza/o,Mestiza/o,Católica,Cinco,29637,Verdadero,104,Tijuana,"Lesbian, gay or homosexual",Female-to-Male (FTM)/Transgender Male/Trans Man,CAÑÓN ALTAMIRA GUERRERO,Ian,México
Español,Lia,Daniela,COH,1955-11-14,PARÍS1650,22054,Tijuana,Baja California,MEX,BC487183831,94859158373,Peón de jardinería y horticultura,+52(664)5721594,+52(664)1237020,+52(664)8830699,+52(664)6779346,Solter@,,2008-04-01,Female,biancaacosta@gmail.com,biancaacosta@gmail.com,Mestiza/o,Mestiza/o,Mestiza/o,Otras religiones,Cuatro,29637,Verdadero,105,Tijuana,"Lesbian, gay or homosexual",Female-to-Male (FTM)/Transgender Male/Trans Man,CAÑÓN ALTAMIRA GUERRERO,Daniela,México
Español,Rosa,Esther,BALTIERRA,1977-12-23,CAÑON DEL PADRESN,22203,Tijuana,Baja California,MEX,BC571579617,66711100637,Director de empresas de construcción,+52(664)3949839,+52(664)8238681,+52(664)5523854,+52(664)2710466,Solter@,,2020-03-26,Female,cecilia90@gmail.com,cecilia90@gmail.com,Afrodescendiente,Afrodescendiente,Afrodescendiente,Protestante/Cristiano evangélico,Tres,29637,Falso,106,Tijuana,"Lesbian, gay or homosexual",Identifies as Male,CAÑÓN DEL PADRE,Rosa,México
Español,Christian,Tadeo,CARRETO,1962-03-10,CAÑON DEL PADRESN,22203,Tijuana,Baja California,MEX,BC139639583,63547852978,Diseñador gráfico,+52(664)7383468,+52(664)3355332,+52(664)9709193,+52(664)9099032,Viud@,,2010-07-01,Male,rojotrinidad@hotmail.com,rojotrinidad@hotmail.com,Mestiza/o,Mestiza/o,Mestiza/o,Católica,Tres,29637,Verdadero,107,Tijuana,Bisexual,"Additional gender category or other, please specify",CAÑÓN DEL PADRE,Christian,México
Español,Roxana,Natalia,NARVAES,1999-10-20,PARÍS1650,22054,Tijuana,Baja California,MEX,BC849104087,05273221217,Diseñador gráfico,+52(664)2282410,+52(664)1625117,+52(664)4100297,+52(664)1673527,Separad@,,2017-04-05,Rather not say,esperanzaamador@hotmail.com,esperanzaamador@hotmail.com,Indígena,Indígena,Indígena,Protestante/Cristiano evangélico,Cinco,29637,Verdadero,108,Tijuana,Bisexual,Male-to-Female (MTF)/Transgender Female/Trans Woman,CAÑÓN ALTAMIRA GUERRERO,Natalia,México
Español,Belinda,Paula,ALAMO,1947-02-03,CAÑON DEL PADRESN,22203,Tijuana,Baja California,MEX,BC194982510,09486471791,Controlador de instalaciones de procesamiento de productos químicos,+52(664)9159997,+52(664)3237909,+52(664)7321518,+52(664)4225125,Viud@,,2021-08-27,Female,pinaesteban@yahoo.com,pinaesteban@yahoo.com,Afrodescendiente,Afrodescendiente,Afrodescendiente,Sin adscripción religiosa (creyente),Cuatro,29637,Verdadero,109,Tijuana,"Something else, please describe",Female-to-Male (FTM)/Transgender Male/Trans Man,CAÑÓN DEL PADRE,Paula,México
Español,Carmen,Sofia,MARCELINO,1997-07-18,PARÍS1650,22054,Tijuana,Baja California,MEX,BC899595138,71355742702,Estadístico,+52(664)2709411,+52(664)9228626,+52(664)7483404,+52(664)6296233,Casad@,,2022-04-24,Female,qverdugo@gmail.com,qverdugo@gmail.com,Indígena,Indígena,Indígena,Protestante/Cristiano evangélico,Cuatro,29637,Verdadero,110,Tijuana,"Lesbian, gay or homosexual","Genderqueer, neither exclusively male nor female",CAÑÓN ALTAMIRA GUERRERO,Carmen,México
Español,Lia,Samanta,PIZANO,1960-09-18,PARÍS1650,22054,Tijuana,Baja California,MEX,BC620019728,45611952669,Técnico en ingeniería civil,+52(664)5042069,+52(664)6928958,+52(664)5490946,+52(664)8095147,Divorciad@,,2019-12-17,Rather not say,alonso84@gmail.com,alonso84@gmail.com,Afrodescendiente,Afrodescendiente,Afrodescendiente,Otras religiones,Cuatro,29637,Falso,111,Tijuana,"Something else, please describe",Identifies as Female,CAÑÓN ALTAMIRA GUERRERO,Samanta,México
Español,Marcelo,Juan,BOYZO,1955-06-27,CAÑON DEL PADRESN,22203,Tijuana,Baja California,MEX,BC421055365,39868169820,Profesional de medicina alternativa,+52(664)4780741,+52(664)6002092,+52(664)1688735,+52(664)1549644,Separad@,,2024-02-07,Male,lozanovictor@yahoo.com,lozanovictor@yahoo.com,Afrodescendiente,Afrodescendiente,Afrodescendiente,Sin adscripción religiosa (creyente),Cuatro,29637,Falso,112,Tijuana,"Something else, please describe",Identifies as Male,CAÑÓN DEL PADRE,Marcelo,México
Español,Johana,Alejandra,MIXTECO,1964-07-27,CAÑON DEL PADRESN,22203,Tijuana,Baja California,MEX,BC635454646,39115780643,Albañil,+52(664)1588313,+52(664)5680245,+52(664)3372176,+52(664)1284960,Casad@,,2015-06-18,Female,navarreteeloisa@yahoo.com,navarreteeloisa@yahoo.com,Caucásica/o,Caucásica/o,Caucásica/o,Sin adscripción religiosa (creyente),Cinco,29637,Verdadero,113,Tijuana,Bisexual,"Genderqueer, neither exclusively male nor female",CAÑÓN DEL PADRE,Johana,México
Español,Luis,Gael,ZACATE,1978-12-08,PARÍS1650,22054,Tijuana,Baja California,MEX,BC307498929,72718174336,Operador de máquinas lavarropas,+52(664)1531957,+52(664)7439068,+52(664)8831555,+52(664)2000118,Separad@ legalmente,,2014-01-01,Male,karinaotero@gmail.com,karinaotero@gmail.com,Mestiza/o,Mestiza/o,Mestiza/o,Católica,Cuatro,29637,Verdadero,114,Tijuana,"Something else, please describe","Additional gender category or other, please specify",CAÑÓN ALTAMIRA GUERRERO,Gael,México
Español,Christian,Santiago De Jesus,GERALDO,1978-10-10,CAÑON DEL PADRESN,22203,Tijuana,Baja California,MEX,BC056168792,55759312295,"Director de empresas de abastecimiento, distribución y afines",+52(664)5126690,+52(664)8543597,+52(664)3295450,+52(664)2843167,Viud@,,2010-02-23,Rather not say,qmiranda@gmail.com,qmiranda@gmail.com,Afrodescendiente,Afrodescendiente,Afrodescendiente,Católica,Cuatro,29637,Falso,115,Tijuana,Straight or heterosexual,Identifies as Male,CAÑÓN DEL PADRE,Santiago De Jesus,México
Español,Ximena,Maricela,BERRUM,1986-05-31,CAÑON DEL PADRESN,22203,Tijuana,Baja California,MEX,BC661183695,36963297084,Pescador de agua dulce y en aguas costeras,+52(664)1055616,+52(664)5621877,+52(664)3699482,+52(664)4766259,Divorciad@,,2010-10-24,Female,irmaregalado@hotmail.com,irmaregalado@hotmail.com,Indígena,Indígena,Indígena,Protestante/Cristiano evangélico,Tres,29637,Falso,116,Tijuana,Straight or heterosexual,Identifies as Male,CAÑÓN DEL PADRE,Maricela,México
Español,Victoria,Paula,MARCIN,1946-06-17,CAÑON DEL PADRESN,22203,Tijuana,Baja California,MEX,BC918133527,66049682876,Controlador de instalaciones de procesamiento de productos químicos,+52(664)6401752,+52(664)5360949,+52(664)9304724,+52(664)3900251,Separad@ legalmente,,2013-12-12,Female,mcotto@gmail.com,mcotto@gmail.com,Mestiza/o,Mestiza/o,Mestiza/o,Sin religión,Cuatro,29637,Falso,117,Tijuana,"Lesbian, gay or homosexual","Genderqueer, neither exclusively male nor female",CAÑÓN DEL PADRE,Victoria,México
Español,Liam,Enrique,BERDEJA,1959-09-27,PARÍS1650,22054,Tijuana,Baja California,MEX,BC132546567,01196618860,Agente de maniobras,+52(664)2282842,+52(664)2621163,+52(664)4855710,+52(664)2012512,Divorciad@,,2016-08-19,Rather not say,carolina79@hotmail.com,carolina79@hotmail.com,Mestiza/o,Mestiza/o,Mestiza/o,Sin religión,Cinco,29637,Verdadero,118,Tijuana,"Something else, please describe","Genderqueer, neither exclusively male nor female",CAÑÓN ALTAMIRA GUERRERO,Enrique,México
Español,Angelica,Dayana,LEMUZ,1949-10-15,PARÍS1650,22054,Tijuana,Baja California,MEX,BC053024119,32367830364,Biólogo,+52(664)5178965,+52(664)3733582,+52(664)2321604,+52(664)9914687,Separad@,,2003-09-15,Female,uceja@hotmail.com,uceja@hotmail.com,Indígena,Indígena,Indígena,Protestante/Cristiano evangélico,Tres,29637,Verdadero,119,Tijuana,Straight or heterosexual,Male-to-Female (MTF)/Transgender Female/Trans Woman,CAÑÓN ALTAMIRA GUERRERO,Dayana,México
Español,Iker,Mateo,HUACASH,1960-11-04,CAÑON DEL PADRESN,22203,Tijuana,Baja California,MEX,BC747770582,64935996971,Ebanista,+52(664)4867713,+52(664)2666849,+52(664)4759081,+52(664)7312165,Solter@,,2007-12-21,Rather not say,violeta71@gmail.com,violeta71@gmail.com,Mestiza/o,Mestiza/o,Mestiza/o,Sin adscripción religiosa (creyente),Cinco,29637,Verdadero,120,Tijuana,"Something else, please describe",Female-to-Male (FTM)/Transgender Male/Trans Man,CAÑÓN DEL PADRE,Mateo,México
Español,Sebastian,Zaid,LANZ,1992-05-22,PARÍS1650,22054,Tijuana,Baja California,MEX,BC530773365,98043317985,Operador de instalaciones de procesamiento de la madera,+52(664)4341587,+52(664)5028936,+52(664)1045435,+52(664)2664447,Viud@,,2001-08-18,Male,arcelia09@gmail.com,arcelia09@gmail.com,Mestiza/o,Mestiza/o,Mestiza/o,Sin adscripción religiosa (creyente),Cuatro,29637,Verdadero,121,Tijuana,"Something else, please describe","Additional gender category or other, please specify",CAÑÓN ALTAMIRA GUERRERO,Zaid,México
Español,Marlen,Maria,TIZOC,1949-08-15,CAÑON DEL PADRESN,22203,Tijuana,Baja California,MEX,BC415436359,12434442427,Capitán decubierta,+52(664)7201043,+52(664)2511019,+52(664)8799061,+52(664)1548504,Divorciad@,,2014-01-11,Rather not say,aestrada@hotmail.com,aestrada@hotmail.com,Mestiza/o,Mestiza/o,Mestiza/o,Protestante/Cristiano evangélico,Cuatro,29637,Falso,122,Tijuana,"Lesbian, gay or homosexual","Genderqueer, neither exclusively male nor female",CAÑÓN DEL PADRE,Marlen,México
Español,Jose,Alejandro,PARGAS,1983-12-19,PARÍS1650,22054,Tijuana,Baja California,MEX,BC525368718,13613825200,Inspector medioambiental y afines,+52(664)1708268,+52(664)4658736,+52(664)4339080,+52(664)8179579,Separad@,,2016-06-09,Male,galindofernando@yahoo.com,galindofernando@yahoo.com,Mestiza/o,Mestiza/o,Mestiza/o,Protestante/Cristiano evangélico,Cinco,29637,Falso,123,Tijuana,Straight or heterosexual,Female-to-Male (FTM)/Transgender Male/Trans Man,CAÑÓN ALTAMIRA GUERRERO,Alejandro,México
Español,Fernanda,Silvia,TAVIZON,1962-09-29,CAÑON DEL PADRESN,22203,Tijuana,Baja California,MEX,BC275425864,72790770191,Peón de explotaciones agrícolas,+52(664)8934760,+52(664)1996644,+52(664)5843619,+52(664)1739502,Casad@,,2012-04-11,Rather not say,gmunoz@gmail.com,gmunoz@gmail.com,Mestiza/o,Mestiza/o,Mestiza/o,Católica,Tres,29637,Falso,124,Tijuana,Straight or heterosexual,Female-to-Male (FTM)/Transgender Male/Trans Man,CAÑÓN DEL PADRE,Fernanda,México
Español,Daniel,Osvaldo,MONTA¤O,1943-11-14,CAÑON DEL PADRESN,22203,Tijuana,Baja California,MEX,BC020685188,52737075599,Traductor e intérprete,+52(664)8822374,+52(664)5372081,+52(664)6321786,+52(664)4677097,Solter@,,2001-06-29,Rather not say,elias52@hotmail.com,elias52@hotmail.com,Mestiza/o,Mestiza/o,Mestiza/o,Sin adscripción religiosa (creyente),Cuatro,29637,Verdadero,125,Tijuana,Straight or heterosexual,Identifies as Female,CAÑÓN DEL PADRE,Daniel,México
Español,Eva,Del Carmen,CALDERAS,1958-04-12,CAÑON DEL PADRESN,22203,Tijuana,Baja California,MEX,BC047094325,53469809569,Médico especialista,+52(664)5313202,+52(664)8226751,+52(664)2335562,+52(664)6772948,Solter@,,2009-12-01,Female,cejafrancisco-javier@gmail.com,cejafrancisco-javier@gmail.com,Caucásica/o,Caucásica/o,Caucásica/o,Católica,Tres,29637,Falso,126,Tijuana,Straight or heterosexual,Identifies as Male,CAÑÓN DEL PADRE,Eva,México
Español,Ian,Ian,MIMBELA,2002-11-11,PARÍS1650,22054,Tijuana,Baja California,MEX,BC988598117,91418323118,Conductor de vehículos y máquinas de tracción animal,+52(664)1135953,+52(664)2487165,+52(664)1173336,+52(664)7141462,Solter@,,2009-06-25,Rather not say,rtijerina@hotmail.com,rtijerina@hotmail.com,Caucásica/o,Caucásica/o,Caucásica/o,Sin religión,Tres,29637,Falso,127,Tijuana,"Something else, please describe","Genderqueer, neither exclusively male nor female",CAÑÓN ALTAMIRA GUERRERO,Ian,México
Español,Luis,Ricardo,SIQUEIROS,1995-12-01,PARÍS1650,22054,Tijuana,Baja California,MEX,BC814370582,12161325621,Cantante,+52(664)1937868,+52(664)5654764,+52(664)2710946,+52(664)7002455,Separad@ legalmente,,2019-08-28,Rather not say,barelamaximiliano@gmail.com,barelamaximiliano@gmail.com,Caucásica/o,Caucásica/o,Caucásica/o,Sin religión,Cinco,29637,Falso,128,Tijuana,Bisexual,"Genderqueer, neither exclusively male nor female",CAÑÓN ALTAMIRA GUERRERO,Luis,México
Español,Virginia,Yareli,LAVENANT,1968-06-07,PARÍS1650,22054,Tijuana,Baja California,MEX,BC276029304,49670346037,Trabajador de explotaciones de acuicultura,+52(664)4191028,+52(664)8076915,+52(664)9508332,+52(664)8452216,Separad@ legalmente,,2007-06-07,Female,biglesias@gmail.com,biglesias@gmail.com,Indígena,Indígena,Indígena,Católica,Cuatro,29637,Verdadero,129,Tijuana,Bisexual,Male-to-Female (MTF)/Transgender Female/Trans Woman,CAÑÓN ALTAMIRA GUERRERO,Yareli,México
Español,Karen,Guadalupe,SALONES,1986-04-08,CAÑON DEL PADRESN,22203,Tijuana,Baja California,MEX,BC658143468,33775987820,Empleado de centro de llamadas,+52(664)3722549,+52(664)1838637,+52(664)9110694,+52(664)2797276,Divorciad@,,2003-01-14,Female,martin47@yahoo.com,martin47@yahoo.com,Indígena,Indígena,Indígena,Sin religión,Cinco,29637,Falso,130,Tijuana,Bisexual,"Genderqueer, neither exclusively male nor female",CAÑÓN DEL PADRE,Karen,México
Español,Liam,Enrique,BOUSSART,1963-03-08,CAÑON DEL PADRESN,22203,Tijuana,Baja California,MEX,BC035187893,67871715651,Platero,+52(664)6487332,+52(664)7817462,+52(664)3433767,+52(664)2003705,Casad@,,2004-03-02,Male,trinidadjaquez@yahoo.com,trinidadjaquez@yahoo.com,Caucásica/o,Caucásica/o,Caucásica/o,Católica,Tres,29637,Verdadero,131,Tijuana,Bisexual,"Genderqueer, neither exclusively male nor female",CAÑÓN DEL PADRE,Liam,México
Español,Osvaldo,Liam,MEXIA,1957-08-17,PARÍS1650,22054,Tijuana,Baja California,MEX,BC131114040,54135146931,Herrero,+52(664)8419685,+52(664)5471077,+52(664)1302989,+52(664)6365664,Casad@,,2005-02-21,Male,eugeniaanaya@gmail.com,eugeniaanaya@gmail.com,Mestiza/o,Mestiza/o,Mestiza/o,Sin religión,Cinco,29637,Falso,132,Tijuana,Bisexual,"Genderqueer, neither exclusively male nor female",CAÑÓN ALTAMIRA GUERRERO,Osvaldo,México
Español,Luis,Tadeo,TEODORO,1988-11-22,CAÑON DEL PADRESN,22203,Tijuana,Baja California,MEX,BC593585197,64977494042,Secretario médicos,+52(664)5671028,+52(664)9370862,+52(664)9991608,+52(664)3865529,UniÃ³n libre,,2021-09-25,Male,fabiola54@hotmail.com,fabiola54@hotmail.com,Caucásica/o,Caucásica/o,Caucásica/o,Sin religión,Cinco,29637,Verdadero,133,Tijuana,"Something else, please describe",Identifies as Male,CAÑÓN DEL PADRE,Luis,México
Español,Miguel,Mateo,CUAMATZI,1970-10-21,PARÍS1650,22054,Tijuana,Baja California,MEX,BC501970719,47187573812,Inspector de la salud laboral,+52(664)4030767,+52(664)4581429,+52(664)2887452,+52(664)7301787,Viud@,,2011-09-18,Male,judith33@yahoo.com,judith33@yahoo.com,Indígena,Indígena,Indígena,Protestante/Cristiano evangélico,Cuatro,29637,Verdadero,134,Tijuana,"Something else, please describe",Identifies as Male,CAÑÓN ALTAMIRA GUERRERO,Miguel,México
Español,Angel,Sebastian,ALVIRDE,1945-05-25,CAÑON DEL PADRESN,22203,Tijuana,Baja California,MEX,BC206858945,36809066073,Peón de minas y canteras,+52(664)7267130,+52(664)1024001,+52(664)5026023,+52(664)3628328,Separad@,,2023-06-13,Male,elsaaragon@gmail.com,elsaaragon@gmail.com,Indígena,Indígena,Indígena,Sin religión,Cinco,29637,Falso,135,Tijuana,"Lesbian, gay or homosexual","Additional gender category or other, please specify",CAÑÓN DEL PADRE,Sebastian,México
Español,Marcos,Raul,SAM,1947-01-02,CAÑON DEL PADRESN,22203,Tijuana,Baja California,MEX,BC291601374,85978581446,Maestro de enseñanza primaria,+52(664)1875254,+52(664)6055605,+52(664)5517173,+52(664)2698366,Separad@,,2007-06-07,Rather not say,adalberto01@hotmail.com,adalberto01@hotmail.com,Afrodescendiente,Afrodescendiente,Afrodescendiente,Sin adscripción religiosa (creyente),Cuatro,29637,Verdadero,136,Tijuana,Straight or heterosexual,"Additional gender category or other, please specify",CAÑÓN DEL PADRE,Raul,México
Español,Mariana,Sofia,MARCIN,1999-05-07,PARÍS1650,22054,Tijuana,Baja California,MEX,BC578704518,57511315624,Operador de telar y otras máquinas tejedoras,+52(664)3104160,+52(664)3459790,+52(664)1556563,+52(664)3778135,Casad@,,2024-06-21,Rather not say,nayeli08@yahoo.com,nayeli08@yahoo.com,Afrodescendiente,Afrodescendiente,Afrodescendiente,Protestante/Cristiano evangélico,Cuatro,29637,Verdadero,137,Tijuana,Bisexual,Female-to-Male (FTM)/Transgender Male/Trans Man,CAÑÓN ALTAMIRA GUERRERO,Mariana,México
Español,Eduardo,Gilberto,OLAZARAN,2003-05-01,PARÍS1650,22054,Tijuana,Baja California,MEX,BC640368702,36857895639,Clasificador de productos,+52(664)1001099,+52(664)6952590,+52(664)9157742,+52(664)7567929,Separad@ legalmente,,2017-08-04,Male,qhernandez@hotmail.com,qhernandez@hotmail.com,Indígena,Indígena,Indígena,Católica,Cinco,29637,Falso,138,Tijuana,Straight or heterosexual,Female-to-Male (FTM)/Transgender Male/Trans Man,CAÑÓN ALTAMIRA GUERRERO,Eduardo,México
Español,Mateo,Andres,ZURITA,1994-10-24,CAÑON DEL PADRESN,22203,Tijuana,Baja California,MEX,BC966495344,36293631697,Ensamblador de equipos eléctricos,+52(664)7493799,+52(664)8088298,+52(664)2355070,+52(664)3870501,Separad@ legalmente,,2016-01-16,Male,fidel49@hotmail.com,fidel49@hotmail.com,Indígena,Indígena,Indígena,Católica,Cinco,29637,Verdadero,139,Tijuana,"Lesbian, gay or homosexual","Additional gender category or other, please specify",CAÑÓN DEL PADRE,Mateo,México
Español,Renata,Allison,SERRATO,1963-12-12,PARÍS1650,22054,Tijuana,Baja California,MEX,BC555758325,43269092078,Agente de empleo,+52(664)6361882,+52(664)2752295,+52(664)5601893,+52(664)6711753,Separad@ legalmente,,2012-04-27,Female,maestasjose-luis@hotmail.com,maestasjose-luis@hotmail.com,Afrodescendiente,Afrodescendiente,Afrodescendiente,Otras religiones,Tres,29637,Falso,140,Tijuana,Bisexual,Identifies as Male,CAÑÓN ALTAMIRA GUERRERO,Renata,México
Español,Veronica,Lizeth,BUCETA,1963-06-20,PARÍS1650,22054,Tijuana,Baja California,MEX,BC309567160,49125650587,Especialista en tratamientos de belleza,+52(664)3757967,+52(664)3022995,+52(664)8883931,+52(664)7775400,Separad@ legalmente,,2009-02-14,Rather not say,nmayorga@hotmail.com,nmayorga@hotmail.com,Afrodescendiente,Afrodescendiente,Afrodescendiente,Sin adscripción religiosa (creyente),Cuatro,29637,Verdadero,141,Tijuana,Bisexual,"Additional gender category or other, please specify",CAÑÓN ALTAMIRA GUERRERO,Lizeth,México
Español,Manuel,Javier,MAGALLAN,1997-06-15,PARÍS1650,22054,Tijuana,Baja California,MEX,BC223122729,65466135970,Locutor de radio,+52(664)9822461,+52(664)9641534,+52(664)2579182,+52(664)5431825,UniÃ³n libre,,2022-10-24,Rather not say,solanoangel@gmail.com,solanoangel@gmail.com,Caucásica/o,Caucásica/o,Caucásica/o,Católica,Cuatro,29637,Falso,142,Tijuana,"Something else, please describe",Female-to-Male (FTM)/Transgender Male/Trans Man,CAÑÓN ALTAMIRA GUERRERO,Javier,México
Español,Alessandra,Paola,LIZCANO,1998-06-21,CAÑON DEL PADRESN,22203,Tijuana,Baja California,MEX,BC295344031,93485939610,Psicólogo,+52(664)7029743,+52(664)7498705,+52(664)7560469,+52(664)4102126,Separad@,,2001-12-06,Female,guadalupe05@hotmail.com,guadalupe05@hotmail.com,Afrodescendiente,Afrodescendiente,Afrodescendiente,Otras religiones,Tres,29637,Falso,143,Tijuana,Bisexual,Identifies as Male,CAÑÓN DEL PADRE,Alessandra,México
Español,Regina,Victoria,MINJARES,1977-01-04,PARÍS1650,22054,Tijuana,Baja California,MEX,BC402800960,43476529607,Lavandero,+52(664)3714519,+52(664)8446240,+52(664)4231066,+52(664)1837022,Solter@,,2013-03-30,Female,zayasarmando@gmail.com,zayasarmando@gmail.com,Mestiza/o,Mestiza/o,Mestiza/o,Otras religiones,Tres,29637,Falso,144,Tijuana,"Lesbian, gay or homosexual",Male-to-Female (MTF)/Transgender Female/Trans Woman,CAÑÓN ALTAMIRA GUERRERO,Regina,México
Español,Axel,Antonio,PALMER,1987-06-02,PARÍS1650,22054,Tijuana,Baja California,MEX,BC009605627,05153781793,Ingeniero químico,+52(664)8133685,+52(664)1981646,+52(664)5485269,+52(664)1556228,UniÃ³n libre,,2003-12-02,Male,sruelas@gmail.com,sruelas@gmail.com,Afrodescendiente,Afrodescendiente,Afrodescendiente,Protestante/Cristiano evangélico,Cinco,29637,Verdadero,145,Tijuana,Straight or heterosexual,"Genderqueer, neither exclusively male nor female",CAÑÓN ALTAMIRA GUERRERO,Axel,México
Español,Hugo,Luca,FUENTES,1990-04-17,CAÑON DEL PADRESN,22203,Tijuana,Baja California,MEX,BC267067618,48818758301,Peón de obras públicas y mantenimiento,+52(664)1236286,+52(664)5447738,+52(664)6571218,+52(664)1454945,Separad@ legalmente,,2014-02-18,Rather not say,francisca78@hotmail.com,francisca78@hotmail.com,Mestiza/o,Mestiza/o,Mestiza/o,Otras religiones,Tres,29637,Verdadero,146,Tijuana,"Lesbian, gay or homosexual",Female-to-Male (FTM)/Transgender Male/Trans Man,CAÑÓN DEL PADRE,Luca,México
